Average Market Capitalization of listed companies during the six months ended 30 June 2020,,,,,,,,,,
Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
188,SCHAEFFLER INDIA LIMITED,INE513A01014,SCHAEFFLER,12307.15,SCHAEFFLER," 12,319.49 ",,," 12,313.32 ", Mid Cap 
189,INDIAN HOTELS CO. LTD,INE053A01029,INDHOTEL,12239.26,INDHOTEL," 12,219.37 ",,," 12,229.31 ", Mid Cap 
190,GUJARAT STATE PETRONET LTD.,INE246F01010,GSPL,12090.91,GSPL," 12,093.90 ",,," 12,092.40 ", Mid Cap 
191,MANAPPURAM FINANCE LIMITED,INE522D01027,MANAPPURAM,12027.58,MANAPPURAM," 12,027.48 ",,," 12,027.53 ", Mid Cap 
192,GMR INFRASTRUCTURE LIMITED,INE776C01039,GMRINFRA,12021.59,GMRINFRA," 12,021.35 ",,," 12,021.47 ", Mid Cap 
193,GODREJ INDUSTRIES LTD.,INE233A01035,GODREJIND,12006.56,GODREJIND," 12,006.04 ",,," 12,006.30 ", Mid Cap 
194,UCO BANK,INE691A01018,UCOBANK,12027.22,UCOBANK," 11,936.75 ",,," 11,981.99 ", Mid Cap 
195,ENDURANCE TECHNOLOGIES LIMITED,INE913H01037,ENDURANCE,11883.58,ENDURANCE," 11,899.12 ",,," 11,891.35 ", Mid Cap 
196,SUMITOMO CHEMICAL INDIA LIMITED,INE258G01013,SUMICHEM,11841.45,SUMICHEM," 11,840.59 ",,," 11,841.02 ", Mid Cap 
197,TATA POWER CO. LTD,INE245A01021,TATAPOWER,11837.01,TATAPOWER," 11,835.36 ",,," 11,836.19 ", Mid Cap 
198,AAVAS FINANCIERS LIMITED,INE216P01012,AAVAS,11760.75,AAVAS," 11,767.27 ",,," 11,764.01 ", Mid Cap 
199,AJANTA PHARMA LTD.,INE031B01049,AJANTPHARM,11622.94,AJANTPHARM," 11,631.80 ",,," 11,627.37 ", Mid Cap 
200,TATA COMMUNICATIONS LIMITED,INE151A01013,TATACOMM,11590.56,TATACOMM," 11,597.70 ",,," 11,594.13 ", Mid Cap 
201,OIL INDIA LIMITED,INE274J01014,OIL,11528.11,OIL," 11,526.65 ",,," 11,527.38 ", Mid Cap 
202,RUCHI SOYA INDUSTRIES LTD.,INE619A01035,RUCHISOYA,11632.71,RUCHI," 11,030.25 ",,," 11,331.48 ", Mid Cap 
203,CRISIL LTD.,INE007A01025,CRISIL,11082.07,CRISIL," 11,077.42 ",,," 11,079.75 ", Mid Cap 
204,NATCO PHARMA LTD.,INE987B01026,NATCOPHARM,11050.14,NATCOPHARM," 11,047.04 ",,," 11,048.59 ", Mid Cap 
205,AMARA RAJA BATTERIES LTD,INE885A01032,AMARAJABAT,10884.36,AMARAJABAT," 10,883.05 ",,," 10,883.70 ", Mid Cap 
206,"BHARAT HEAVY ELECTRICALS LTD.,",INE257A01026,BHEL,10798.36,BHEL," 10,798.64 ",,," 10,798.50 ", Mid Cap 
207,RBL BANK LIMITED,INE976G01028,RBLBANK,10829.21,RBLBANK," 10,592.23 ",,," 10,710.72 ", Mid Cap 
208,EMAMI LTD,INE548C01032,EMAMILTD*,10698.74,EMAMILTD," 10,695.55 ",,," 10,697.14 ", Mid Cap 
209,"THE PHOENIX MILLS LTD.,",INE211B01039,PHOENIXLTD,10499.12,PHOENIXLTD," 10,497.60 ",,," 10,498.36 ", Mid Cap 
210,THERMAX LTD.,INE152A01029,THERMAX,10075.09,THERMAX," 10,077.31 ",,," 10,076.20 ", Mid Cap 
211,FORTIS HEALTHCARE LTD,INE061F01013,FORTIS,10064.11,FORTIS," 10,065.40 ",,," 10,064.76 ", Mid Cap 
212,FUTURE RETAIL LTD.,INE752P01024,FRETAIL,9982.78,FRETAIL," 9,853.25 ",,," 9,918.01 ", Mid Cap 
213,MAHANAGAR GAS LIMITED,INE002S01010,MGL,9908.33,MGL," 9,909.78 ",,," 9,909.06 ", Mid Cap 
214,"VINATI ORGANICS LTD.,",INE410B01037,VINATIORGA,9844.91,VINATIORGA," 9,845.99 ",,," 9,845.45 ", Mid Cap 
215,IIFL WEALTH MANAGEMENT LIMITED,INE466L01020,IIFLWAM,9717.05,IIFLWAM," 9,701.34 ",,," 9,709.19 ", Mid Cap 
216,PRESTIGE ESTATES PROJECTS LIMITED,INE811K01011,PRESTIGE,9734.29,PRESTIGE," 9,657.19 ",,," 9,695.74 ", Mid Cap
217,"ESCORTS LIMITED,",INE042A01014,ESCORTS,9657.64,ESCORTS," 9,658.20 ",,," 9,657.92 ", Mid Cap 
218,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,INE338I01027,MOTILALOFS*,9508.13,MOTILALOFS," 9,493.09 ",,," 9,500.61 ", Mid Cap 
219,AKZO NOBEL INDIA LIMITED,INE133A01011,AKZOINDIA,9668.65,AKZOINDIA," 9,299.07 ",,," 9,483.86 ", Mid Cap 
220,J.K. CEMENT LTD,INE823G01014,JKCEMENT,9407.96,JKCEMENT," 9,409.77 ",,," 9,408.86 ", Mid Cap 
221,NIIT TECHNOLOGIES LIMITED,INE591G01017,NIITTECH,9378.83,NIITTECH," 9,371.92 ",,," 9,375.38 ", Mid Cap 
222,HATSUN AGRO PRODUCTS LTD.,INE473B01035,HATSUN,9319.72,HATSUN," 9,289.38 ",,," 9,304.55 ", Mid Cap 
223,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,SOLARINDS,9262.14,SOLARINDS," 9,264.71 ",,," 9,263.43 ", Mid Cap 
224,GLENMARK PHARMACEUTICALS LTD,INE935A01035,GLENMARK,9174.54,GLENMARK," 9,175.51 ",,," 9,175.03 ", Mid Cap 
225,HEXAWARE TECHNOLOGIES LTD.,INE093A01033,HEXAWARE,9084.37,HEXAWARE," 9,082.24 ",,," 9,083.31 ", Mid Cap 
226,CENTRAL BANK OF INDIA,INE483A01010,CENTRALBK,8972.31,CENTRALBK," 8,965.95 ",,," 8,969.13 ", Mid Cap 
227,SJVN LIMITED,INE002L01015,SJVN,8920.79,SJVN," 8,917.92 ",,," 8,919.35 ", Mid Cap 
228,CREDITACCESS GRAMEEN LTD.,INE741K01010,CREDITACC,8707.79,CREDITACC," 8,701.92 ",,," 8,704.85 ", Mid Cap 
229,INDIABULLS HOUSING FINANCE LIMITED,INE148I01020,IBULHSGFIN,8661.24,IBULHSGFIN," 8,662.48 ",,," 8,661.86 ", Mid Cap 
230,GODREJ AGROVET LIMITED,INE850D01014,GODREJAGRO,8499.75,GODREJAGRO," 8,501.38 ",,," 8,500.57 ", Mid Cap 
231,SKF INDIA LTD.,INE640A01023,SKFINDIA,8489.25,SKFINDIA," 8,485.96 ",,," 8,487.60 ", Mid Cap 
232,JSW ENERGY LIMITED,INE121E01018,JSWENERGY,8480.99,JSWENERGY," 8,479.52 ",,," 8,480.25 ", Mid Cap 
233,MINDA INDUSTRIES LTD.,INE405E01023,MINDAIND,8255.54,MINDAIND," 8,258.47 ",,," 8,257.01 ", Mid Cap 
234,V-GUARD INDUSTRIES LTD.,INE951I01027,VGUARD,8051.22,VGUARD," 8,046.95 ",,," 8,049.09 ", Mid Cap 
235,TUBE INVESTMENTS OF INDIA LTD,INE974X01010,TIINDIA,7980.97,TIINDIA," 7,980.66 ",,," 7,980.82 ", Mid Cap 
236,"CESC LIMITED,",INE486A01013,CESC,7724.35,CESC," 8,195.50 ",,," 7,959.92 ", Mid Cap 
237,"SUNDRAM FASTENERS LTD.,",INE387A01021,SUNDRMFAST,7887.79,SUNDRMFAST," 7,889.03 ",,," 7,888.41 ", Mid Cap 
238,ZYDUS WELLNESS LIMITED,INE768C01010,ZYDUSWELL,7828.06,ZYDUSWELL," 7,830.57 ",,," 7,829.32 ", Mid Cap 
239,JUBILANT LIFE SCIENCES LIMITED,INE700A01033,JUBILANT,7646.33,JUBILANT," 7,646.98 ",,," 7,646.66 ", Mid Cap 
240,METROPOLIS HEALTHCARE LIMITED,INE112L01020,METROPOLIS,7496.51,METROPOLIS," 7,491.21 ",,," 7,493.86 ", Mid Cap 
241,ITI LIMITED (INDIAN TELEPH.IND.LTD),INE248A01017,ITI,7491.53,ITI," 7,430.18 ",,," 7,460.86 ", Mid Cap 
242,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,INE149A01033,CHOLAHLDNG,7393.81,CHOLAHLDNG," 7,400.31 ",,," 7,397.06 ", Mid Cap 
243,TTK PRESTIGE LTD.,INE690A01010,TTKPRESTIG,7289.28,TTKPRESTIG," 7,289.91 ",,," 7,289.59 ", Mid Cap 
244,SYMPHONY LIMITED,INE225D01027,SYMPHONY,7206.99,SYMPHONY," 7,207.23 ",,," 7,207.11 ", Mid Cap 
245,PVR LTD.,INE191H01014,PVR,7191.67,PVR," 7,188.99 ",,," 7,190.33 ", Mid Cap 
246,TATA CHEMICALS LTD,INE092A01019,TATACHEM,7086.50,TATACHEM," 7,086.37 ",,," 7,086.44 ", Mid Cap 
247,INDIABULLS VENTURES LIMITED,INE274G01010,IBVENTURES,7245.22,IBVENTURES," 6,914.72 ",,," 7,079.97 ", Mid Cap 
248,JM FINANCIAL LIMITED,INE780C01023,JMFINANCIL,7094.56,JMFINANCIL," 7,044.53 ",,," 7,069.55 ", Mid Cap 
249,KAJARIA CERAMICS LTD,INE217B01036,KAJARIACER,6997.65,KAJARIACER," 6,998.61 ",,," 6,998.13 ", Mid Cap 
250,APOLLO TYRES LTD,INE438A01022,APOLLOTYRE,6955.48,APOLLOTYRE," 6,956.15 ",,," 6,955.82 ", Mid Cap 
251,SHEELA FOAM LIMITED,INE916U01025,SFL,6935.60,SFL," 6,938.95 ",,," 6,937.27 ", Small Cap 
252,ASTRAZENECA PHARMA INDIA LTD.,INE203A01020,ASTRAZEN,6920.28,ASTRAZEN," 6,923.22 ",,," 6,921.75 ",Small Cap
253,"BOMBAY BURMAH TRADING CORPN. LTD.,",INE050A01025,BBTC,6851.25,BBTC," 6,853.78 ",,," 6,852.51 ",Small Cap
254,PROCTER & GAMBLE HEALTH LIMITED,INE199A01012,PGHL,6813.60,PGHL," 6,814.11 ",,," 6,813.85 ",Small Cap
255,NLC INDIA LIMITED,INE589A01014,NLCINDIA,6775.13,NLCINDIA," 6,774.11 ",,," 6,774.62 ",Small Cap
256,TIMKEN INDIA LTD,INE325A01013,TIMKEN,6726.45,TIMKEN," 6,729.06 ",,," 6,727.75 ",Small Cap
257,SHRIRAM-CITY UNION FINANCE LTD.,INE722A01011,SHRIRAMCIT,6679.55,SHRIRAMCIT," 6,673.44 ",,," 6,676.49 ",Small Cap
258,NAVIN FLUORINE INTERNATIONAL LIMITED,INE048G01026,NAVINFLUOR,6673.78,NAVINFLUOR," 6,673.52 ",,," 6,673.65 ",Small Cap
259,RITES LIMITED,INE320J01015,RITES,6666.13,RITES," 6,666.83 ",,," 6,666.48 ",Small Cap
260,UJJIVAN SMALL FINANCE BANK LIMITED,INE551W01018,UJJIVANSFB,6641.58,UJJIVANSFB," 6,639.89 ",,," 6,640.73 ",Small Cap
261,KEC INTERNATIONAL LTD. (FORMERLY KNOWN AS KEC INFRASTRUCTURES LTD.),INE389H01022,KEC,6638.51,KEC," 6,640.81 ",,," 6,639.66 ",Small Cap
262,INDIAMART INTERMESH LIMITED,INE933S01016,INDIAMART,6591.29,INDIAMART," 6,591.85 ",,," 6,591.57 ",Small Cap
263,SECURITY AND INTELLIGENCE SERVICES (INDIA) LIMITED,INE285J01028,SIS,6579.55,SIS," 6,578.53 ",,," 6,579.04 ",Small Cap
264,AVANTI FEEDS LTD.,INE871C01038,AVANTI,6505.04,AVANTIFEED," 6,506.09 ",,," 6,505.56 ",Small Cap
265,"NATIONAL ALUMINIUM CO. LTD.,",INE139A01034,NATIONALUM,6498.42,NATIONALUM," 6,494.62 ",,," 6,496.52 ",Small Cap
266,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,INE782A01015,JCHAC,6429.57,JCHAC," 6,430.35 ",,," 6,429.96 ",Small Cap
267,ERIS LIFESCIENCES LIMITED,INE406M01024,ERIS,6445.24,ERIS," 6,403.46 ",,," 6,424.35 ",Small Cap
268,ASTER DM HEALTHCARE LIMITED,INE914M01019,ASTERDM,6372.30,ASTERDM," 6,401.74 ",,," 6,387.02 ",Small Cap
269,AEGIS LOGISTICS LTD.,INE208C01025,AEGISLOG,6350.14,AEGISCHEM," 6,352.37 ",,," 6,351.26 ",Small Cap
270,FINE ORGANIC INDUSTRIES LIMITED,INE686Y01026,FINEORG,6277.39,FINEORG," 6,275.71 ",,," 6,276.55 ",Small Cap
271,MANGALORE REFINERY & PETROCHEMICALS,INE103A01014,MRPL,6194.30,MRPL," 6,193.58 ",,," 6,193.94 ",Small Cap
272,BANK OF MAHARASHTRA,INE457A01014,MAHABANK,6194.30,MAHABANK," 6,191.08 ",,," 6,192.69 ",Small Cap
273,BLUE STAR LTD,INE472A01039,BLUESTARCO,6178.44,BLUESTARCO," 6,179.57 ",,," 6,179.00 ",Small Cap
274,NARAYANA HRUDAYALAYA LIMITED,INE410P01011,NH,6161.89,NH," 6,161.50 ",,," 6,161.70 ",Small Cap
275,DEEPAK NITRITE LIMITED,INE288B01029,DEEPAKNI,6145.96,DEEPAKNTR," 6,146.64 ",,," 6,146.30 ",Small Cap
276,MULTI COMMODITY EXCHANGE OF INDIA LTD,INE745G01035,MCX,6102.44,,,,," 6,102.44 ",Small Cap
277,EDELWEISS FINANCIAL SERVICES LTD.,INE532F01054,EDELWEISS,6039.31,EDELWEISS," 6,041.24 ",,," 6,040.28 ",Small Cap
278,GRINDWELL NORTON LTD.,INE536A01023,GRINDWELL,6014.34,GRINDWELL," 6,013.93 ",,," 6,014.13 ",Small Cap
279,FINOLEX INDUSTRIES LTD.,INE183A01016,FINOLEXIND,5895.33,FINPIPE," 5,891.94 ",,," 5,893.63 ",Small Cap
280,CHAMBAL FERTILISERS & CHEMICALS LTD,INE085A01013,CHAMBLFERT,5872.39,CHAMBLFERT," 5,875.01 ",,," 5,873.70 ",Small Cap
281,HOUSING &URBAN DEVELOPMENT CORPORATION LTD.,INE031A01017,HUDCO,5759.21,HUDCO," 5,758.15 ",,," 5,758.68 ",Small Cap
282,KIOCL LIMITED,INE880L01014,KIOCL,5729.20,KIOCL," 5,742.04 ",KIOCL,5760.74," 5,743.99 ",Small Cap
283,"GODFREY PHILLIPS INDIA LTD.,",INE260B01028,GODFRYPHLP,5720.22,GODFRYPHLP," 5,721.61 ",,," 5,720.91 ",Small Cap
284,EIH LTD,INE230A01023,EIHOTEL,5615.25,EIHOTEL," 5,615.86 ",,," 5,615.55 ",Small Cap
285,BLUE DART EXPRESS LTD.,INE233B01017,BLUEDART,5523.85,BLUEDART," 5,527.65 ",,," 5,525.75 ",Small Cap
286,WESTLIFE DEVELOPMENT LTD,INE274F01020,WESTLIFE,5516.15,,,,," 5,516.15 ",Small Cap
287,QUESS CORP LIMITED,INE615P01015,QUESS,5512.81,QUESS," 5,512.24 ",,," 5,512.52 ",Small Cap
288,"VST INDUSTRIES LTD.,",INE710A01016,VSTIND,5478.58,VSTIND," 5,479.27 ",,," 5,478.93 ",Small Cap
289,ESSEL PROPACK LTD.,INE255A01020,ESSELPRO,5474.77,ESSELPACK," 5,478.11 ",,," 5,476.44 ",Small Cap
290,KRBL LTD.,INE001B01026,KRBL,5359.81,KRBL," 5,352.90 ",,," 5,356.36 ",Small Cap
291,TATA ELXSI LTD,INE670A01012,TATAELXSI,5241.96,TATAELXSI," 5,243.51 ",,," 5,242.73 ",Small Cap
292,INDIAN BANK,INE562A01011,INDIANB,5207.13,INDIANB," 5,083.37 ",,," 5,145.25 ",Small Cap
293,"CARBORUNDUM UNIVERSAL LTD.,",INE120A01034,CARBORUNIV,5114.25,CARBORUNIV," 5,115.42 ",,," 5,114.84 ",Small Cap
294,LINDE INDIA LIMITED,INE473A01011,LINDEINDIA,5076.16,LINDEINDIA," 5,075.02 ",,," 5,075.59 ",Small Cap
295,DIXON TECHNOLOGIES (INDIA) LIMITED,INE935N01012,DIXON,5045.89,DIXON," 5,045.97 ",,," 5,045.93 ",Small Cap
296,FUTURE LIFESTYLE FASHIONS LIMITED,INE452O01016,FLFL,5029.71,FLFL," 5,030.74 ",,," 5,030.22 ",Small Cap
297,GALAXY SURFACTANTS LIMITED,INE600K01018,GALAXYSURF,5027.97,GALAXYSURF," 5,027.27 ",,," 5,027.62 ",Small Cap
298,RATNAMANI METALS & TUBES LTD,INE703B01027,RATNAMANI,4975.92,RATNAMANI," 4,973.84 ",,," 4,974.88 ",Small Cap
299,INDIAN ENERGY EXCHANGE LIMITED,INE022Q01020,IEX,4951.22,IEX," 4,952.92 ",,," 4,952.07 ",Small Cap
300,"CAN FIN HOMES LTD.,",INE477A01020,CANFINHOME,4922.40,CANFINHOME," 4,923.43 ",,," 4,922.91 ",Small Cap
301,DCM SHRIRAM LIMITED,INE499A01024,DCMSHRIRAM,5074.62,DCMSHRIRAM," 4,768.91 ",,," 4,921.76 ",Small Cap
302,SPANDANA SPHOORTY FINANCIAL LIMITED,INE572J01011,SPANDANA,4873.36,SPANDANA," 4,869.56 ",,," 4,871.46 ",Small Cap
303,PNB HOUSING FINANCE LIMITED,INE572E01012,PNBHOUSING,4867.79,PNBHOUSING," 4,867.18 ",,," 4,867.49 ",Small Cap
304,ASAHI INDIA GLASS LTD.,INE439A01020,ASAHIINDIA,4780.49,ASAHIINDIA," 4,785.96 ",,," 4,783.22 ",Small Cap
305,ENGINEERS INDIA LTD.,INE510A01028,ENGINERSIN,4740.03,ENGINERSIN," 4,739.57 ",,," 4,739.80 ",Small Cap
306,VARDHMAN TEXTILES LIMTED,INE825A01012,VTL,4712.33,VTL," 4,714.54 ",,," 4,713.43 ",Small Cap
307,CHALET HOTELS LIMITED,INE427F01016,CHALET,4696.90,CHALET," 4,692.11 ",,," 4,694.51 ",Small Cap
308,PERSISTENT SYSTEMS LIMITED,INE262H01013,PERSISTENT,4642.96,PERSISTENT," 4,645.66 ",,," 4,644.31 ",Small Cap
309,GUJARAT FLUOROCHEMICALS LIMITED,INE09N301011,FLUOROCHEM,4633.26,FLUOROCHEM," 4,638.39 ",,," 4,635.83 ",Small Cap
310,LAURUS LABS LIMITED,INE947Q01010,LAURUSLABS,4632.97,LAURUSLABS," 4,632.65 ",,," 4,632.81 ",Small Cap
311,BHARAT DYNAMICS LIMITED,INE171Z01018,BDL,4606.51,BDL," 4,607.09 ",,," 4,606.80 ",Small Cap
312,"V.I.P. INDUSTRIES LTD.,",INE054A01027,VIPIND,4567.52,VIPIND," 4,567.35 ",,," 4,567.43 ",Small Cap
313,RADICO KHAITAN LTD.,INE944F01028,RADICO,4565.87,RADICO," 4,565.56 ",,," 4,565.71 ",Small Cap
314,GMM PFAUDLER LTD.,INE541A01023,GMM,4553.03,GMMPFAUDLR," 4,551.56 ",,," 4,552.29 ",Small Cap
315,MAHINDRA CIE AUTOMOTIVE LIMITED,INE536H01010,MAHINDCIE,4524.37,MAHINDCIE," 4,526.93 ",,," 4,525.65 ",Small Cap
316,SITAL LEASING AND FINANCE LIMITED,INE341O01029,,,,,SITAL," 4,523.86 "," 4,523.86 ",Small Cap
317,BASF INDIA LTD,INE373A01013,BASF,4501.63,BASF," 4,503.00 ",,," 4,502.32 ",Small Cap
318,JYOTHY LABS LIMITED,INE668F01031,JYOTHYLAB,4502.38,JYOTHYLAB," 4,500.43 ",,," 4,501.40 ",Small Cap
319,J.B. CHEMICALS & PHARMACEUTICALS LT,INE572A01028,JBCHEPHARM,4545.58,JBCHEPHARM," 4,455.48 ",,," 4,500.53 ",Small Cap
320,"FINOLEX CABLES LTD.,",INE235A01022,FINCABLES,4501.03,FINCABLES," 4,499.22 ",,," 4,500.13 ",Small Cap
321,"CENTURY TEXTILES & INDUSTRIES LTD.,",INE055A01016,CENTURYTEX,4484.54,CENTURYTEX," 4,484.39 ",,," 4,484.47 ",Small Cap
322,NBCC (INDIA) LIMITED,INE095N01031,NBCC,4460.12,NBCC," 4,458.66 ",,," 4,459.39 ",Small Cap
323,KALPATARU POWER TRANSMISSION LTD.,INE220B01022,KALPATPOWR*,4426.66,KALPATPOWR," 4,426.56 ",,," 4,426.61 ",Small Cap
324,BIRLA CORPORATION LTD.,INE340A01012,BIRLACORPN,4426.48,BIRLACORPN," 4,426.56 ",,," 4,426.52 ",Small Cap
325,GRAPHITE INDIA LTD.,INE371A01025,GRAPHITE,4321.22,GRAPHITE," 4,321.82 ",,," 4,321.52 ",Small Cap
326,ORIENT ELECTRIC LIMITED,INE142Z01019,ORIENTELEC,4273.82,ORIENTELEC," 4,273.17 ",,," 4,273.50 ",Small Cap
327,MAS FINANCIAL SERVICES LIMITED,INE348L01012,MASFIN,4211.08,MASFIN," 4,208.41 ",,," 4,209.74 ",Small Cap
328,RALLIS INDIA LTD,INE613A01020,RALLIS,4205.86,RALLIS," 4,208.03 ",,," 4,206.95 ",Small Cap
329,DILIP BUILDCON LIMITED,INE917M01012,DBL,4161.33,DBL," 4,164.16 ",,," 4,162.74 ",Small Cap
330,"BAJAJ ELECTRICALS LTD.,",INE193E01025,BAJAJELEC,4155.62,BAJAJELEC," 4,155.84 ",,," 4,155.73 ",Small Cap
331,GRANULES INDIA LTD.,INE101D01020,GRANULES,4143.46,GRANULES," 4,144.04 ",,," 4,143.75 ",Small Cap
332,AMBER ENTERPRISES INDIA LIMITED,INE371P01015,AMBER,4128.01,AMBER," 4,129.52 ",,," 4,128.76 ",Small Cap
333,RAIL VIKAS NIGAM LIMITED,INE415G01027,RVNL,4127.10,RVNL," 4,123.08 ",,," 4,125.09 ",Small Cap
334,IRCON INTERNATIONAL LTD,INE962Y01021,IRCON,4120.27,IRCON," 4,121.56 ",,," 4,120.91 ",Small Cap
335,STERLITE TECHNOLOGIES LIMITED.,INE089C01029,STRTECH*,4095.46,STRTECH," 4,096.77 ",,," 4,096.11 ",Small Cap
336,FDC LTD.,INE258B01022,FDC,4022.13,FDC," 4,021.22 ",,," 4,021.67 ",Small Cap
337,APL APOLLO TUBES LIMITED,INE702C01019,APLAPOLLO,4009.91,APLAPOLLO," 4,010.53 ",,," 4,010.22 ",Small Cap
338,COCHIN SHIPYARD LIMITED,INE704P01017,COCHINSHIP,3961.18,COCHINSHIP," 3,961.05 ",,," 3,961.12 ",Small Cap
339,SUNTECK REALTY LTD,INE805D01034,SUNTECK,3958.23,SUNTECK," 3,958.33 ",,," 3,958.28 ",Small Cap
340,TV18 BROADCAST LTD.,INE886H01027,TV18BRDCST,3951.67,TV18BRDCST," 3,950.76 ",,," 3,951.22 ",Small Cap
341,SUVEN PHARMACEUTICALS LIMITED,INE03QK01018,SUVENPHAR,3941.45,SUVENPHAR," 3,947.17 ",,," 3,944.31 ",Small Cap
342,NESCO LTD,INE317F01035,NESCO,3935.95,NESCO," 3,936.37 ",,," 3,936.16 ",Small Cap
343,HEIDELBERGCEMENT  INDIA LIMITED,INE578A01017,HEIDELBERG,3919.05,HEIDELBERG," 3,919.60 ",,," 3,919.32 ",Small Cap
344,"TATA INVESTMENT CORPORATION LTD.,",INE672A01018,TATAINVEST,3915.64,TATAINVEST," 3,914.88 ",,," 3,915.26 ",Small Cap
345,SUN PHARMA ADVANCED RESEARCH COMPANY LTD.,INE232I01014,SPARC,3880.07,SPARC," 3,881.77 ",,," 3,880.92 ",Small Cap
346,IDFC LIMITED,INE043D01016,IDFC,3849.17,IDFC," 3,846.19 ",,," 3,847.68 ",Small Cap
347,AFFLE (INDIA) LIMITED,INE00WC01019,AFFLE,3848.01,AFFLE," 3,840.14 ",,," 3,844.08 ",Small Cap
348,SPICEJET LIMITED,INE285B01017,SPICEJET,3841.72,,,,," 3,841.72 ",Small Cap
349,PNC INFRATECH LIMITED,INE195J01029,PNCINFRA,3780.83,PNCINFRA," 3,781.87 ",,," 3,781.35 ",Small Cap
350,IIFL FINANCE LIMITED ,INE530B01024,IIFL,3762.31,IIFL," 3,729.30 ",,," 3,745.80 ",Small Cap
351,VAKRANGEE LIMITED,INE051B01021,VAKRANGEE,3735.27,VAKRANGEE," 3,741.60 ",,," 3,738.43 ",Small Cap
352,DCB BANK LIMITED,INE503A01015,DCBBANK,3722.57,DCBBANK," 3,721.64 ",,," 3,722.11 ",Small Cap
353,GE POWER INDIA LIMITED,INE878A01011,GEPIL,3711.08,GEPIL," 3,711.73 ",,," 3,711.40 ",Small Cap
354,REDINGTON (INDIA) LTD.,INE891D01026,REDINGTON,3698.63,REDINGTON," 3,700.70 ",,," 3,699.66 ",Small Cap
355,HATHWAY CABLE & DATACOM LIMITED,INE982F01036,HATHWAY,3672.38,HATHWAY," 3,671.10 ",,," 3,671.74 ",Small Cap
356,STRIDES PHARMA SCIENCE LIMITED,INE939A01011,STAR,3654.48,STAR," 3,655.14 ",,," 3,654.81 ",Small Cap
357,MISHRA DHATU NIGAM LIMITED,INE099Z01011,MIDHANI,3629.93,MIDHANI," 3,631.24 ",,," 3,630.58 ",Small Cap
358,VARROC ENGINEERING LIMITED,INE665L01035,VARROC,3619.89,VARROC," 3,622.16 ",,," 3,621.03 ",Small Cap
359,"GREAT EASTERN SHIPPING CO. LTD.,",INE017A01032,GESHIP,3601.05,GESHIP," 3,600.33 ",,," 3,600.69 ",Small Cap
360,"CEAT LTD.,",INE482A01020,CEATLTD,3588.13,CEATLTD," 3,588.68 ",,," 3,588.41 ",Small Cap
361,K.P.R. MILL LTD.,INE930H01023,KPRMILL,3579.96,KPRMILL," 3,577.53 ",,," 3,578.74 ",Small Cap
362,"MAHARASHTRA SCOOTERS LTD.,",INE288A01013,MAHSCOOTER,3568.45,MAHSCOOTER," 3,568.13 ",,," 3,568.29 ",Small Cap
363,WELSPUN INDIA LTD,INE192B01031,WELSPUNIND,3534.22,WELSPUNIND," 3,532.75 ",,," 3,533.49 ",Small Cap
364,SUNDARAM CLAYTON LTD.,INE105A01035,SUNCLAYLTD,3524.60,SUNCLAYLTD," 3,516.72 ",,," 3,520.66 ",Small Cap
365,CYIENT LIMITED,INE136B01020,CYIENT,3512.30,CYIENT," 3,511.92 ",,," 3,512.11 ",Small Cap
366,ABB POWER PRODUCTS AND SYSTEMS INDIA LIMITED,INE07Y701011,POWERINDIA,3448.46,POWERINDIA," 3,447.64 ",,," 3,448.05 ",Small Cap
367,TEAMLEASE SERVICES LIMITED,INE985S01024,TEAMLEASE,3423.95,TEAMLEASE," 3,426.88 ",,," 3,425.42 ",Small Cap
368,BRIGADE ENTERPRISES LIMITED,INE791I01019,BRIGADE,3419.91,BRIGADE," 3,420.99 ",,," 3,420.45 ",Small Cap
369,GUJARAT PIPAVAV PORT LIMITED,INE517F01014,GPPL,3406.60,GPPL," 3,407.80 ",,," 3,407.20 ",Small Cap
370,HEG LTD.,INE545A01016,HEG,3449.88,HEG," 3,362.50 ",,," 3,406.19 ",Small Cap
371,"E.I.D. PARRY (INDIA) LTD.,",INE126A01031,EIDPARRY,3375.31,EIDPARRY," 3,375.99 ",,," 3,375.65 ",Small Cap
372,INFIBEAM AVENUES LIMITED,INE483S01020,INFIBEAM,3349.97,INFIBEAM," 3,349.38 ",,," 3,349.68 ",Small Cap
373,KEI INDUSTRIES LTD.,INE878B01027,KEI,3367.52,KEI," 3,328.87 ",,," 3,348.19 ",Small Cap
374,GULF OIL LUBRICANTS INDIA LIMITED,INE635Q01029,GULFOILLUB,3336.87,GULFOILLUB," 3,335.27 ",,," 3,336.07 ",Small Cap
